time,value
2021-09-30T10:27:53.560Z,138
2021-09-30T10:27:54.176Z,112
2021-09-30T10:27:55.196Z,106
2021-09-30T10:27:56.222Z,114
2021-09-30T10:27:56.834Z,126
2021-09-30T10:27:57.256Z,120
2021-09-30T10:27:57.755Z,130
2021-09-30T10:27:58.267Z,112
2021-09-30T10:27:58.884Z,116
2021-09-30T10:27:59.492Z,124
2021-09-30T10:28:00.416Z,140
2021-09-30T10:28:00.930Z,524
2021-09-30T10:28:01.542Z,600
2021-09-30T10:28:02.053Z,322
2021-09-30T10:28:02.565Z,160
2021-09-30T10:28:03.178Z,436
2021-09-30T10:28:04.099Z,272
2021-09-30T10:28:04.723Z,204
2021-09-30T10:28:05.326Z,306
2021-09-30T10:28:05.738Z,190
2021-09-30T10:28:06.250Z,290
2021-09-30T10:28:06.864Z,114
2021-09-30T10:28:07.271Z,210
2021-09-30T10:28:07.908Z,200
2021-09-30T10:28:08.501Z,218
2021-09-30T10:28:08.909Z,152
2021-09-30T10:28:09.421Z,216
2021-09-30T10:28:09.941Z,326
2021-09-30T10:28:10.447Z,440
2021-09-30T10:28:11.056Z,266
2021-09-30T10:28:12.081Z,126
2021-09-30T10:28:12.700Z,118
2021-09-30T10:28:13.111Z,110
2021-09-30T10:28:13.720Z,114
2021-09-30T10:28:14.133Z,104
2021-09-30T10:28:14.742Z,124
2021-09-30T10:28:15.152Z,114
2021-09-30T10:28:15.766Z,106
2021-09-30T10:28:16.380Z,114
2021-09-30T10:28:17.405Z,114
2021-09-30T10:28:18.020Z,122
2021-09-30T10:28:19.042Z,126
2021-09-30T10:28:20.065Z,198
2021-09-30T10:28:21.090Z,114
2021-09-30T10:28:21.706Z,118
2021-09-30T10:28:22.113Z,120
2021-09-30T10:28:22.725Z,130
2021-09-30T10:28:23.139Z,334
2021-09-30T10:28:23.746Z,428
2021-09-30T10:28:24.163Z,330
2021-09-30T10:28:25.388Z,268
2021-09-30T10:28:25.800Z,296
2021-09-30T10:28:26.410Z,380
2021-09-30T10:28:26.923Z,172
2021-09-30T10:28:27.330Z,200
2021-09-30T10:28:27.947Z,590
2021-09-30T10:28:28.558Z,656
2021-09-30T10:28:29.585Z,146
2021-09-30T10:28:30.603Z,246
2021-09-30T10:28:31.216Z,326
2021-09-30T10:28:31.627Z,128
2021-09-30T10:28:32.239Z,228
2021-09-30T10:28:32.651Z,300
2021-09-30T10:28:33.263Z,284
2021-09-30T10:28:34.286Z,126
2021-09-30T10:28:34.903Z,128
2021-09-30T10:28:35.518Z,110
2021-09-30T10:28:35.927Z,122
2021-09-30T10:28:36.538Z,102
2021-09-30T10:28:36.950Z,106
2021-09-30T10:28:37.564Z,102
2021-09-30T10:28:38.175Z,106
2021-09-30T10:28:38.689Z,102
2021-09-30T10:28:39.202Z,108
2021-09-30T10:28:39.611Z,104
2021-09-30T10:28:40.328Z,90
2021-09-30T10:28:40.836Z,104
2021-09-30T10:28:41.353Z,100
2021-09-30T10:28:41.860Z,102
