time,value
2021-09-30T10:27:51.412Z,28
2021-09-30T10:27:52.125Z,26
2021-09-30T10:27:53.050Z,48
2021-09-30T10:27:53.762Z,56
2021-09-30T10:27:54.177Z,50
2021-09-30T10:27:55.197Z,30
2021-09-30T10:27:56.423Z,24
2021-09-30T10:27:57.038Z,28
2021-09-30T10:27:57.753Z,24
2021-09-30T10:27:58.265Z,26
2021-09-30T10:27:58.674Z,30
2021-09-30T10:27:59.289Z,28
2021-09-30T10:28:00.415Z,36
2021-09-30T10:28:00.929Z,326
2021-09-30T10:28:01.541Z,486
2021-09-30T10:28:02.051Z,372
2021-09-30T10:28:02.564Z,100
2021-09-30T10:28:03.586Z,600
2021-09-30T10:28:04.098Z,328
2021-09-30T10:28:05.133Z,244
2021-09-30T10:28:05.737Z,598
2021-09-30T10:28:06.249Z,364
2021-09-30T10:28:06.658Z,246
2021-09-30T10:28:07.270Z,180
2021-09-30T10:28:07.684Z,304
2021-09-30T10:28:08.297Z,464
2021-09-30T10:28:08.710Z,158
2021-09-30T10:28:09.420Z,118
2021-09-30T10:28:09.941Z,230
2021-09-30T10:28:10.447Z,344
2021-09-30T10:28:10.856Z,420
2021-09-30T10:28:11.472Z,46
2021-09-30T10:28:11.875Z,28
2021-09-30T10:28:12.490Z,12
2021-09-30T10:28:13.110Z,28
2021-09-30T10:28:14.133Z,34
2021-09-30T10:28:15.152Z,32
2021-09-30T10:28:15.765Z,28
2021-09-30T10:28:16.180Z,32
2021-09-30T10:28:17.244Z,28
2021-09-30T10:28:17.814Z,26
2021-09-30T10:28:18.439Z,28
2021-09-30T10:28:19.448Z,28
2021-09-30T10:28:20.475Z,40
2021-09-30T10:28:21.089Z,26
2021-09-30T10:28:22.113Z,26
2021-09-30T10:28:23.139Z,232
2021-09-30T10:28:23.746Z,396
2021-09-30T10:28:24.162Z,312
2021-09-30T10:28:25.182Z,368
2021-09-30T10:28:25.799Z,470
2021-09-30T10:28:26.213Z,386
2021-09-30T10:28:26.716Z,70
2021-09-30T10:28:27.329Z,52
2021-09-30T10:28:27.945Z,280
2021-09-30T10:28:28.353Z,306
2021-09-30T10:28:28.967Z,476
2021-09-30T10:28:29.378Z,44
2021-09-30T10:28:30.602Z,830
2021-09-30T10:28:31.016Z,380
2021-09-30T10:28:31.625Z,96
2021-09-30T10:28:32.036Z,66
2021-09-30T10:28:32.650Z,370
2021-09-30T10:28:33.060Z,372
2021-09-30T10:28:34.286Z,32
2021-09-30T10:28:34.902Z,30
2021-09-30T10:28:35.311Z,32
2021-09-30T10:28:35.926Z,28
2021-09-30T10:28:36.336Z,26
2021-09-30T10:28:36.950Z,32
2021-09-30T10:28:37.378Z,28
2021-09-30T10:28:38.689Z,48
2021-09-30T10:28:39.201Z,28
2021-09-30T10:28:39.611Z,34
2021-09-30T10:28:40.328Z,28
2021-09-30T10:28:40.837Z,26
2021-09-30T10:28:41.354Z,30
2021-09-30T10:28:41.861Z,28
2021-09-30T10:28:42.476Z,30
2021-09-30T10:28:43.498Z,26
2021-09-30T10:28:44.112Z,28
2021-09-30T10:28:45.135Z,448
2021-09-30T10:28:45.585Z,440
2021-09-30T10:28:46.158Z,446
2021-09-30T10:28:46.773Z,94
2021-09-30T10:28:47.182Z,130
2021-09-30T10:28:48.205Z,456
2021-09-30T10:28:49.243Z,122
2021-09-30T10:28:49.845Z,394
2021-09-30T10:28:50.456Z,634
2021-09-30T10:28:51.479Z,158
2021-09-30T10:28:51.889Z,68
2021-09-30T10:28:52.502Z,290
2021-09-30T10:28:53.116Z,462
2021-09-30T10:28:54.140Z,66
2021-09-30T10:28:54.549Z,286
2021-09-30T10:28:55.164Z,488
2021-09-30T10:28:55.791Z,364
2021-09-30T10:28:56.187Z,50
2021-09-30T10:28:56.800Z,26
2021-09-30T10:28:57.214Z,40
2021-09-30T10:28:57.825Z,28
2021-09-30T10:28:58.437Z,30
2021-09-30T10:33:30.031Z,40
2021-09-30T10:33:31.057Z,26
2021-09-30T10:33:31.566Z,30
2021-09-30T10:33:32.075Z,28
2021-09-30T10:33:32.591Z,24
2021-09-30T10:33:33.200Z,28
2021-09-30T10:33:33.713Z,32
2021-09-30T10:33:34.226Z,28
2021-09-30T10:33:34.740Z,42
2021-09-30T10:33:35.249Z,28
2021-09-30T10:33:36.281Z,28
2021-09-30T10:33:37.298Z,26
2021-09-30T10:33:37.913Z,28
2021-09-30T10:33:38.426Z,30
2021-09-30T10:33:39.451Z,28
2021-09-30T10:33:39.959Z,30
2021-09-30T10:33:40.471Z,28
2021-09-30T10:33:41.086Z,26
2021-09-30T10:33:42.117Z,68
2021-09-30T10:33:42.718Z,28
2021-09-30T10:33:43.133Z,32
2021-09-30T10:33:43.648Z,26
2021-09-30T10:33:44.157Z,28
2021-09-30T10:33:44.769Z,30
2021-09-30T10:33:45.176Z,26
2021-09-30T10:33:46.505Z,28
2021-09-30T10:33:46.925Z,24
2021-09-30T10:33:47.331Z,28
